Date,BBCA,BYAN,TPIA,BBRI,BMRI,DSSA,TLKM,ASII,BBNI,ICBP
2024-02-29,9317.9580078125,19348.568359375,4577.185546875,5397.27880859375,6050.69287109375,12897.5,3769.671875,4401.23193359375,5255.58056640625,11327.884765625
2024-03-01,9270.77734375,19348.568359375,4667.13037109375,5397.27880859375,6072.30224609375,12897.5,3694.278564453125,4401.23193359375,5167.98779296875,11401.4423828125
2024-03-02,9270.77734375,19348.568359375,4667.13037109375,5397.27880859375,6072.30224609375,12897.5,3694.278564453125,4401.23193359375,5167.98779296875,11401.4423828125
2024-03-03,9270.77734375,19348.568359375,4667.13037109375,5397.27880859375,6072.30224609375,12897.5,3694.278564453125,4401.23193359375,5167.98779296875,11401.4423828125
2024-03-04,9200.0087890625,19298.955078125,4787.056640625,5331.18896484375,6072.30224609375,12897.5,3713.126953125,4380.1728515625,5146.08935546875,11229.8076171875
2024-03-05,9247.1884765625,19274.150390625,4737.08740234375,5397.27880859375,6072.30224609375,12895.0,3647.157470703125,4295.9384765625,5167.98779296875,11156.25
2024-03-06,9388.7275390625,19249.34375,5221.78955078125,5463.36767578125,6115.52197265625,11997.5,3675.43017578125,4359.1142578125,5211.7841796875,10935.5771484375
2024-03-07,9553.85546875,19174.92578125,5621.54345703125,5485.3974609375,6137.13134765625,11997.5,3675.43017578125,4316.99755859375,5233.6826171875,10494.23046875
2024-03-08,9577.4453125,19348.568359375,5571.57421875,5595.5458984375,6158.7412109375,11997.5,3637.7333984375,4338.05615234375,5343.173828125,10567.7880859375
2024-03-09,9577.4453125,19348.568359375,5571.57421875,5595.5458984375,6158.7412109375,11997.5,3637.7333984375,4338.05615234375,5343.173828125,10567.7880859375
2024-03-10,9577.4453125,19348.568359375,5571.57421875,5595.5458984375,6158.7412109375,11997.5,3637.7333984375,4338.05615234375,5343.173828125,10567.7880859375
2024-03-11,9577.4453125,19348.568359375,5571.57421875,5595.5458984375,6158.7412109375,11997.5,3637.7333984375,4338.05615234375,5343.173828125,10567.7880859375
2024-03-12,9577.4453125,19348.568359375,5571.57421875,5595.5458984375,6158.7412109375,11997.5,3637.7333984375,4338.05615234375,5343.173828125,10567.7880859375
2024-03-13,9435.9072265625,19323.76171875,6221.1748046875,5639.60498046875,6288.39892578125,10500.0,3675.43017578125,4338.05615234375,5452.6650390625,10518.75
2024-03-14,9742.5732421875,19348.568359375,5546.58984375,5625.8837890625,6396.44677734375,12125.0,3731.97509765625,4443.34814453125,5386.97021484375,10690.384765625
2024-03-15,9577.4453125,19249.34375,5146.83544921875,5465.79736328125,6396.44677734375,12127.5,3741.3994140625,4359.1142578125,5323.1796875,10518.75
2024-03-16,9577.4453125,19249.34375,5146.83544921875,5465.79736328125,6396.44677734375,12127.5,3741.3994140625,4359.1142578125,5323.1796875,10518.75
2024-03-17,9577.4453125,19249.34375,5146.83544921875,5465.79736328125,6396.44677734375,12127.5,3741.3994140625,4359.1142578125,5323.1796875,10518.75
2024-03-18,9577.4453125,19249.34375,5271.7587890625,5488.66650390625,6201.96044921875,12127.5,3694.278564453125,4338.05615234375,5323.1796875,10641.345703125
2024-03-19,9601.0361328125,19249.34375,5346.71240234375,5488.66650390625,6288.39892578125,12500.0,3713.126953125,4401.23193359375,5369.06884765625,10788.4609375
2024-03-20,9553.85546875,19298.955078125,5696.49755859375,5580.14453125,6405.568359375,12500.0,3703.70263671875,4443.34814453125,5392.013671875,11009.134765625
2024-03-21,9553.85546875,19298.955078125,5621.54345703125,5580.14453125,6405.568359375,12500.0,3666.005859375,4506.52392578125,5323.1796875,10739.4228515625
2024-03-22,9530.2666015625,19323.76171875,5671.5126953125,5603.01416015625,6405.568359375,12500.0,3675.43017578125,4527.5830078125,5369.06884765625,10911.0576171875
2024-03-23,9530.2666015625,19323.76171875,5671.5126953125,5603.01416015625,6405.568359375,12500.0,3675.43017578125,4527.5830078125,5369.06884765625,10911.0576171875
2024-03-24,9530.2666015625,19323.76171875,5671.5126953125,5603.01416015625,6405.568359375,12500.0,3675.43017578125,4527.5830078125,5369.06884765625,10911.0576171875
2024-03-25,9725.74609375,18877.255859375,5946.34375,5717.361328125,6587.28662109375,11250.0,3515.218994140625,4506.52392578125,5437.9033203125,10984.615234375
2024-03-26,9701.61328125,19100.509765625,6096.251953125,5763.10009765625,6519.142578125,12300.0,3411.552978515625,4464.4072265625,5460.84814453125,10641.345703125
2024-03-27,9725.74609375,18802.837890625,5721.482421875,5717.361328125,6519.142578125,12300.0,3289.038818359375,4443.34814453125,5437.9033203125,10788.4609375
2024-03-28,9725.74609375,18852.451171875,5821.4208984375,5534.4052734375,6587.28662109375,12300.0,3270.1904296875,4338.05615234375,5414.95849609375,11376.9228515625
2024-03-29,9725.74609375,18852.451171875,5821.4208984375,5534.4052734375,6587.28662109375,12300.0,3270.1904296875,4338.05615234375,5414.95849609375,11376.9228515625
2024-03-30,9725.74609375,18852.451171875,5821.4208984375,5534.4052734375,6587.28662109375,12300.0,3270.1904296875,4338.05615234375,5414.95849609375,11376.9228515625
2024-03-31,9725.74609375,18852.451171875,5821.4208984375,5534.4052734375,6587.28662109375,12300.0,3270.1904296875,4338.05615234375,5414.95849609375,11376.9228515625
2024-04-01,9508.5458984375,18902.0625,6096.251953125,5420.05859375,6269.27978515625,12300.0,3307.88720703125,4380.1728515625,5185.51123046875,11009.134765625
2024-04-02,9556.8125,18951.673828125,6471.021484375,5191.36376953125,6269.27978515625,12300.0,3289.038818359375,4443.34814453125,5024.89794921875,10984.615234375
2024-04-03,9194.8125,18877.255859375,6770.8369140625,5145.625,6155.7060546875,12300.0,3223.069580078125,4422.2900390625,4887.2294921875,10788.4609375
2024-04-04,9508.5458984375,18902.0625,6970.71435546875,5214.2333984375,6246.56494140625,11525.0,3251.342041015625,4359.1142578125,4910.17431640625,10812.98046875
2024-04-05,9484.412109375,18654.00390625,7095.63720703125,5168.49462890625,6201.13525390625,12300.0,3232.49365234375,4443.34814453125,4864.28466796875,10641.345703125
2024-04-06,9484.412109375,18654.00390625,7095.63720703125,5168.49462890625,6201.13525390625,12300.0,3232.49365234375,4443.34814453125,4864.28466796875,10641.345703125
2024-04-07,9484.412109375,18654.00390625,7095.63720703125,5168.49462890625,6201.13525390625,12300.0,3232.49365234375,4443.34814453125,4864.28466796875,10641.345703125
2024-04-08,9484.412109375,18654.00390625,7095.63720703125,5168.49462890625,6201.13525390625,12300.0,3232.49365234375,4443.34814453125,4864.28466796875,10641.345703125
2024-04-09,9484.412109375,18654.00390625,7095.63720703125,5168.49462890625,6201.13525390625,12300.0,3232.49365234375,4443.34814453125,4864.28466796875,10641.345703125
2024-04-10,9484.412109375,18654.00390625,7095.63720703125,5168.49462890625,6201.13525390625,12300.0,3232.49365234375,4443.34814453125,4864.28466796875,10641.345703125
2024-04-11,9484.412109375,18654.00390625,7095.63720703125,5168.49462890625,6201.13525390625,12300.0,3232.49365234375,4443.34814453125,4864.28466796875,10641.345703125
2024-04-12,9484.412109375,18654.00390625,7095.63720703125,5168.49462890625,6201.13525390625,12300.0,3232.49365234375,4443.34814453125,4864.28466796875,10641.345703125
2024-04-13,9484.412109375,18654.00390625,7095.63720703125,5168.49462890625,6201.13525390625,12300.0,3232.49365234375,4443.34814453125,4864.28466796875,10641.345703125
2024-04-14,9484.412109375,18654.00390625,7095.63720703125,5168.49462890625,6201.13525390625,12300.0,3232.49365234375,4443.34814453125,4864.28466796875,10641.345703125
2024-04-15,9484.412109375,18654.00390625,7095.63720703125,5168.49462890625,6201.13525390625,12300.0,3232.49365234375,4443.34814453125,4864.28466796875,10641.345703125
2024-04-16,9146.5458984375,18926.8671875,7220.560546875,4894.06103515625,6019.4169921875,12300.0,3034.5859375,4295.9384765625,4772.505859375,9905.76953125
2024-04-17,9194.8125,18827.64453125,6845.791015625,4848.322265625,6019.4169921875,12300.0,3015.737548828125,4316.99755859375,4818.3955078125,9954.8076171875
2024-04-18,9146.5458984375,18926.8671875,6920.74462890625,5008.408203125,6178.42041015625,12300.0,3062.8583984375,4295.9384765625,4864.28466796875,9905.76953125
2024-04-19,9146.5458984375,18951.673828125,6845.791015625,4825.453125,6110.2763671875,12300.0,2968.61669921875,4127.470703125,4795.45068359375,9537.98046875
2024-04-20,9146.5458984375,18951.673828125,6845.791015625,4825.453125,6110.2763671875,12300.0,2968.61669921875,4127.470703125,4795.45068359375,9537.98046875
2024-04-21,9146.5458984375,18951.673828125,6845.791015625,4825.453125,6110.2763671875,12300.0,2968.61669921875,4127.470703125,4795.45068359375,9537.98046875
2024-04-22,9025.87890625,18778.033203125,6995.69873046875,4848.322265625,6110.2763671875,12300.0,2987.465087890625,4169.58740234375,4910.17431640625,9611.5380859375
2024-04-23,9387.87890625,18356.333984375,7295.5146484375,4848.322265625,6201.13525390625,12300.0,2921.495849609375,4232.76318359375,4818.3955078125,9734.134765625
2024-04-24,9605.0791015625,18902.0625,7445.42236328125,4779.71435546875,6405.568359375,12300.0,2864.95068359375,4135.89404296875,4864.28466796875,9979.3271484375
2024-04-25,9436.1455078125,18877.255859375,7395.453125,4711.10546875,6314.70947265625,12500.0,2864.95068359375,4169.58740234375,4864.28466796875,10494.23046875
2024-04-26,9291.345703125,18728.421875,7320.4990234375,4418.376953125,6132.9912109375,12500.0,2855.5263671875,4110.6240234375,4726.6162109375,10396.1533203125
2024-04-27,9291.345703125,18728.421875,7320.4990234375,4418.376953125,6132.9912109375,12500.0,2855.5263671875,4110.6240234375,4726.6162109375,10396.1533203125
2024-04-28,9291.345703125,18728.421875,7320.4990234375,4418.376953125,6132.9912109375,12500.0,2855.5263671875,4110.6240234375,4726.6162109375,10396.1533203125
2024-04-29,9460.279296875,18852.451171875,7495.3916015625,4363.490234375,6291.99462890625,12500.0,2902.6474609375,4232.76318359375,4795.45068359375,10469.7109375
2024-04-30,9460.279296875,18802.837890625,7570.34521484375,4519.00244140625,6269.27978515625,12500.0,2987.465087890625,4338.05615234375,4818.3955078125,10665.865234375
2024-05-01,9460.279296875,18802.837890625,7570.34521484375,4519.00244140625,6269.27978515625,12500.0,2987.465087890625,4338.05615234375,4818.3955078125,10665.865234375
2024-05-02,9218.9462890625,18852.451171875,7820.19189453125,4354.34228515625,5746.83984375,12300.0,2940.343994140625,4359.1142578125,4432.923828125,10273.5576171875
2024-05-03,9508.5458984375,18951.673828125,7745.23779296875,4345.1943359375,5587.83642578125,12275.0,2978.040771484375,4401.23193359375,4432.923828125,10641.345703125
2024-05-04,9508.5458984375,18951.673828125,7745.23779296875,4345.1943359375,5587.83642578125,12275.0,2978.040771484375,4401.23193359375,4432.923828125,10641.345703125
2024-05-05,9508.5458984375,18951.673828125,7745.23779296875,4345.1943359375,5587.83642578125,12275.0,2978.040771484375,4401.23193359375,4432.923828125,10641.345703125
2024-05-06,9460.279296875,18877.255859375,7670.2841796875,4381.78564453125,5701.41015625,12500.0,2874.374755859375,4295.9384765625,4414.56787109375,10641.345703125
2024-05-07,9363.7451171875,18902.0625,7695.2685546875,4272.01220703125,5701.41015625,12500.0,2912.071533203125,4253.822265625,4313.61083984375,10567.7880859375
2024-05-08,9050.01171875,18753.2265625,7970.099609375,4281.16015625,5701.41015625,12800.0,2902.6474609375,4316.99755859375,4286.0771484375,10567.7880859375
2024-05-09,9050.01171875,18753.2265625,7970.099609375,4281.16015625,5701.41015625,12800.0,2902.6474609375,4316.99755859375,4286.0771484375,10567.7880859375
2024-05-10,9050.01171875,18753.2265625,7970.099609375,4281.16015625,5701.41015625,12800.0,2902.6474609375,4316.99755859375,4286.0771484375,10567.7880859375
2024-05-11,9050.01171875,18753.2265625,7970.099609375,4281.16015625,5701.41015625,12800.0,2902.6474609375,4316.99755859375,4286.0771484375,10567.7880859375
2024-05-12,9050.01171875,18753.2265625,7970.099609375,4281.16015625,5701.41015625,12800.0,2902.6474609375,4316.99755859375,4286.0771484375,10567.7880859375
2024-05-13,9194.8125,18852.451171875,8045.0537109375,4281.16015625,5633.26611328125,12800.0,2912.071533203125,4274.880859375,4387.0341796875,10101.9228515625
